region,Region
USA,North America
Africa_Eastern,Africa
Africa_Northern,Africa
Africa_Southern,Africa
Africa_Western,Africa
Australia_NZ,Australia_NZ
Brazil,Latin America
Canada,North America
Central America and Caribbean,Latin America
Central Asia,South and West Asia
China,East Asia
EU-12,Europe
EU-15,Europe
Europe_Eastern,Europe
Europe_Non_EU,Europe
European Free Trade Association,Europe
India,South and West Asia
Indonesia,Southeast Asia
Japan,East Asia
Mexico,North America
Middle East,South and West Asia
Pakistan,South and West Asia
Russia,Russia
South Africa,Africa
South America_Northern,Latin America
South America_Southern,Latin America
South Asia,South and West Asia
South Korea,East Asia
Southeast Asia,Southeast Asia
Taiwan,East Asia
Argentina,Latin America
Colombia,Latin America
