# Building default subsector (fuel) shareweight interpolation,,,,,,
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
resid heating,biomass,share-weight,final-calibration-year,2075,0,linear
resid heating,coal,share-weight,final-calibration-year,2020,0,linear
resid heating,gas,share-weight,final-calibration-year,2050,0,linear
resid heating,electricity,share-weight,final-calibration-year,end-year,,fixed
resid heating,refined liquids,share-weight,final-calibration-year,2050,0,linear
resid cooling,electricity,share-weight,final-calibration-year,end-year,,fixed
resid hot water,gas,share-weight,final-calibration-year,2050,0,linear
resid hot water,electricity,share-weight,final-calibration-year,end-year,,fixed
resid hot water,refined liquids,share-weight,final-calibration-year,2050,0,linear
resid lighting,electricity,share-weight,final-calibration-year,end-year,,fixed
resid refrigerators,electricity,share-weight,final-calibration-year,end-year,,fixed
resid freezers,electricity,share-weight,final-calibration-year,end-year,,fixed
resid dishwashers,electricity,share-weight,final-calibration-year,end-year,,fixed
resid cooking,electricity,share-weight,final-calibration-year,end-year,,fixed
resid cooking,gas,share-weight,final-calibration-year,2035,,linear
resid cooking,refined liquids,share-weight,final-calibration-year,2025,,linear
resid clothes dryers,electricity,share-weight,final-calibration-year,end-year,,fixed
resid clothes dryers,gas,share-weight,final-calibration-year,2035,,linear
resid clothes washers,electricity,share-weight,final-calibration-year,end-year,,fixed
resid televisions,electricity,share-weight,final-calibration-year,end-year,,fixed
resid computers,electricity,share-weight,final-calibration-year,end-year,,fixed
resid furnace fans,electricity,share-weight,final-calibration-year,end-year,,fixed
resid other,gas,share-weight,final-calibration-year,2035,,linear
resid other,electricity,share-weight,final-calibration-year,end-year,,fixed
resid other,refined liquids,share-weight,final-calibration-year,2030,,linear
comm heating,gas,share-weight,final-calibration-year,2050,0,linear
comm heating,electricity,share-weight,final-calibration-year,end-year,,fixed
comm heating,refined liquids,share-weight,final-calibration-year,2025,0,linear
comm cooling,gas,share-weight,final-calibration-year,2035,0,linear
comm cooling,electricity,share-weight,final-calibration-year,end-year,,fixed
comm hot water,gas,share-weight,final-calibration-year,2035,0,linear
comm hot water,electricity,share-weight,final-calibration-year,end-year,1,s-curve
comm hot water,refined liquids,share-weight,final-calibration-year,2025,0,linear
comm ventilation,electricity,share-weight,final-calibration-year,end-year,,fixed
comm cooking,gas,share-weight,final-calibration-year,2040,0,linear
comm cooking,electricity,share-weight,final-calibration-year,end-year,,fixed
comm lighting,electricity,share-weight,final-calibration-year,end-year,,fixed
comm refrigeration,electricity,share-weight,final-calibration-year,end-year,,fixed
comm office,electricity,share-weight,final-calibration-year,end-year,,fixed
comm other,gas,share-weight,final-calibration-year,2050,0,linear
comm other,electricity,share-weight,final-calibration-year,end-year,,fixed
comm other,refined liquids,share-weight,final-calibration-year,2035,0,linear
comm non-building,electricity,share-weight,final-calibration-year,end-year,,fixed
